task,coder3,coder2,coder1
"city of long beach, marine bureau for the alamitos bay marina renovation project to renovate public marina facilities, including replacement of all docks and piles in basins 1 through 7  repair of seawalls, installation of temporary 200-ft. long dock, maintenance dredging, creation of 10,500 sq. ft. eelgrass mitigation area in marine stadium, renovation/replacement of 13 restrooms, parking lot improvements, and landscaping, at 205 marina drive, long beach, los angeles county.  ",11,3,3
"moss landing harbor district to redevelop north harbor area, demolish maloney's harbor inn restaurant and other waterfront structures, install riprap shoreline protection & public access improvements including boat ramp, public car & boat trailer parking, public wharf, transient boat docks , shoreline access trail and bike trail across north harbor area, at highway 1 , moss landing, monterey county.  ",11,11,11
"city of los angeles to construct new 645 ft., 21-in. diameter storm drain, catch basin, maintenance holes and junction structure to connect to existing storm drain along shepard street, to limit groundwater infiltration along point fermin coastal bluffs, at carolina street, between shepard street and paseo del mar, san pedro, los angeles county.  ",7,7,7
"city of eureka & bureau of land management to reauthorize regulated off-highway vehicle  use and maintenance of 80 acres of north spit foredune area, west of new navy base road on samoa peninsula, humboldt county.   ",11,11,11
"sarbojit mukherjee to construct 2,002 sq.ft., 24-ft. high, 2story single family home; detached 324 sq.ft., 2-car carport; retaining wall; driveway; stairway; septic system; temporary construction trailer; hammerhead turnaround; new fire hydrant; minor road improvements to skyhawks lane; new water line; 741 cu.yds. of grading ; and remove existing shed located at, 2515 hawks nest trail, topanga, los angeles county.  ",1,1,1
"l.a. county dept. of beaches & harbors to demolish 850 feet of 5-ft-wide walkway along redondo beach and replace with 10-ft-wide 850-ft-long concrete walkway, extend 48-inch storm drain box supported by wood piles 60 feet seaward and add shower facilities near redondo beach pier, at 100 torrance blvd., redondo beach, los angeles county.  ",11,11,11
"christopher & noel plourde to demolish one-story, 1,056 sq. ft. single-family residence, and construct two-story, 28-ft. high, 1,589 sq. ft., single-family residence with attached two-car garage on 2,250 sq. ft. lot on walk street, at 118 wavecrest avenue, venice, los angeles, los angeles county.  ",1,1,1
"solana beach presbyterian church to convert 24,000 sq.ft. 3-building office complex into 11,600 sq.ft. of classrooms and 1,400 sq.ft. of chapel/assembly on 2 acre lot; with 11,000 sq.ft. to remain as office, at 225 stevens avenue, solana beach, san diego county.  ",2,2,2
"city of los angeles for venice beach ocean front walk refurbishment plan to resurface ocean front walk and improve street lights, construct bicycle path, convert existing bicycle path for skating, improve handicap access to beach, restore pagodas, construct restrooms and office/first aid station/police substation, create gateways at ends of walkway and at windward plaza, construct several sand/seating walls, and improve basketball grandstand, skate dance area, handball, volleyball, and children's play areas, at venice beach, ocean front walk, marine street to washington blvd., venice, los angeles, los angeles county.  ",11,11,11
"doybar properties, llc to demolish 2 detached single-family homes on 2,520 sq.ft. beachfront lot, and construct 4-level, 35-ft. high, 3,184 sq.ft. single-family home with attached 2-car garage, at 2705 ocean front walk, venice, city of los angeles, los angeles county.  ",1,1,1
"NA5-00-452  jay cowan granted permit with conditions for 4-story duplex with two attached 2-car garages stepped up hillside to maximum height of 55½ feet, retaining walls and grading, at 3030 & 3030½ breakers drive, corona del mar, newport beach, orange county.  ",1,1,1
"larry goodwin for 4,000 sq.ft. 19-ft-high single-family home, attached 3-car garage, 15,000 gallon water tank, and septic system, with no grading, at 21560 hillside drive, topanga, los angeles county.  ",1,1,1
"joel sewell & neilia lavalle to move bulkhead 28 feet channel-ward, backfill 265 cu.yds. between existing bulkhead & new bulkhead to create additional rear yard, and construct 44-ft-long concrete deck cantilevered 5 over new bulkhead, at 16141 santa barbara lane, huntington beach, orange county.  ",6,6,6
"university of california at san diego to demolish 1,280 sq.ft. conference room and replace with paved courtyard & outdoor meeting area, at muir college, ucsd campus, la jolla, san diego, san diego county.  ",2,2,2
"city of capitola for fireworks display on september 2, 2009 at the capitola wharf in capitola, santa cruz county.  ",11,11,11
"george shakiban for 28-ft-high 8,010 sq.ft. single-family home, attached 3-car garage, septic system, swimming pool & spa, fence, entry gate, driveway, and no grading, at 6255 zumirez drive, malibu, los angeles county.  ",1,1,1
"marcia rybak & stephan uhring to add 1,899 sq.ft. to existing 3,615 sq.ft. single-family home, add 260 sq.ft. to existing 665 sq.ft. attached garage, replace & move 3 seepage pits, and grade 75 cu.yds. of material, at 23722 harbor vista drive, malibu, los angeles county.   ",1,1,1
"NA3-99-71  permit granted to frank & michelle knight for single-family home, attached garage, driveway, patios, landscaping, and dune restoration on remainder of site, at 1691 sunset avenue, pacific grove, monterey county.   ",1,1,1
"city of morro bay for access enhancements and dune restoration including pedestrian boardwalk and bike trail, realignment of parts of coleman drive & embarcadero road, and phase i of dune restoration plan, lights, native plantings, benches, signs, added vehicle, bike & surrey parking, at embarcadero & coleman drive from beach street to morro rock area, morro bay, san luis obispo county.  ",11,11,11
"the canyon at peace park and united world of the universe foundation for after-the-fact approval of 4,971 sq.ft., 2-story, 28-ft. high, home with attached 500 sq.ft. garage, 750 sq.ft. guest house with attached carport, 158 sq.ft. peace pagoda, pool, spa, solar panels, access road, water pump, 10,000 gallon water tank, 23.5 ft. tall pole antenna, 34 ft. tall climbing wall, 45 ft. x 8 ft. metal shipping container, and 1497 cu.yds. of cut and 1142 cu.yds. of fill located at 2890 and 2900 so. kanan dume rd., malibu, los angeles county.   ",1,1,1
"ralph herzig, ph.d., to adjust lot line between two beachfront lots, remove rock revetment, construct eight 27-ft-high condominiums, stairway to beach, flood control improvements, seawall, 29 parking spaces & septic system, and demolish & remove debris from burned structure, with 1,000 cu.yds. of cut & export, at 21000 & 21202 pacific coast highway, malibu, los angeles county.  ",2,2,2
"NA4-08-022-r  reconsideration of commission action to deny permit to tom elliott for construction of 2-story, 28-ft. high, 4,413 sq.ft. single-family home with 1,129 sq.ft. attached garage, swimming pool, 5,000 gal. water tank, septic system, 300-ft. long driveway with hammerhead turnaround, retaining walls, fencing, and 1,498 cu.yds. of grading, at 1522 decker canyon road, santa monica mountains, los angeles county.  ",1,1,1
"matt & ellen medeiros for 70-ft-long 25-ft-tall concrete gravity seawall with wave return on beach and bluffs seaward of 4760 opal cliff drive, in opal cliffs area of santa cruz county.  ",6,6,6
"the california dept. of parks and recreation to manage the water level in carmel river lagoon each spring through modification of sandy beach between the lagoon and ocean to increase height of beach and create high-elevation outlet channel to enhance habitat for fish and wildlife in the lagoon, located at carmel river state beach, monterey county.  ",7,7,7
"city of santa barbara to replace 2 floating docks  and 3,700 sq.ft. of concrete surface on launch ramp apron with ridged surface for better traction, at santa barbara harbor, cabrillo blvd. & bath st., santa barbara, santa barbara county.  ",3,3,3
"city of san diego, engineering & capital projects dept. to demolish comfort station and construct comfort station in same size & location, south of ventura place, west of mission blvd. , mission beach, san diego, san diego county.  ",11,11,11
"city of crescent city to install subsurface access port on existing wastewater outfall line, and inspect and test outfall line using closed-circuit television and maintenance equipment, at battery point, crescent city, del norte county.  ",3,7,11
"carltas company to subdivide 447.4 acres into 19 lots for development of office, research and development, related light manufacturing, commercial, hotel/timeshare, destination resort, golf course, agriculture, a vocational school campus, and legoland carlsbad, with 2,083,900 cu.yds. of grading & installation of on- and off-site road & drainage improvements at site east of paseo del norte, north of palomar airport road, south of cannon road, carlsbad, san diego county.   ",10,2,2
"capistrano shores, inc. to place 349 five to seven ton boulders along 2,000 feet of existing 3,600-ft-long seawall within same height & footprint of original seawall, realign 440 feet of timber seawall to pre-storm alignment, and mitigate impacts to dune vegetation resulting from emergency repair work, at 1880 north el camino real, san clemente, orange county.  ",6,6,6
"ocean avenue management llc to demolish 2 separate motels, pacific sands motel  and santa monica beach travelodge  and construct single 89,900 sq.ft., 164 room, 45-ft. high, moderately priced travelodge hotel, with 4,670 sq.ft. of retail space, and total of 294 parking spaces in 4-level subterranean parking garage, at 1515-1525 ocean avenue, santa monica, los angeles county.  ",2,2,2
